date,number of confirmed cases
3/12/20,325
3/13/20,421
3/14/20,527
3/15/20,729
3/16/20,950
3/17/20,1544
3/18/20,3052
3/19/20,5637
3/20/20,7848
3/21/20,12208
3/22/20,15832
3/23/20,20911
3/24/20,25578
3/25/20,32968
3/26/20,38976
3/27/20,44813
3/28/20,53303
3/29/20,59240
3/30/20,67194
3/31/20,74447
4/1/20,82133
4/2/20,90390
4/3/20,103652
4/4/20,113892
4/5/20,122178
4/6/20,130830
4/7/20,138988
4/8/20,149476
4/9/20,159937
4/10/20,170512
4/11/20,180533
4/12/20,188694
4/13/20,195031
4/14/20,202208
4/15/20,213779
4/16/20,222284
4/17/20,229642
4/18/20,236732
4/19/20,242786
4/20/20,247512
4/21/20,251959
4/22/20,257607
4/23/20,263529
4/24/20,271659
4/25/20,282212
4/26/20,288114
4/27/20,292065
4/28/20,295175
4/29/20,299760
4/30/20,304441